Year,Category,Book,Author,Language,Notes
2023,Poetry-Ghazal,Hathu Pakidijain,Vinod Asudani,SINDHI (Since 1959),
2022,Literary History,Sindhi  Sahit Jo Mukhtasar Itihas  ,Kanhaiyalal Lekhwani ,SINDHI (Since 1959),
2021,Poetry,Nena Nindakhra ,Arjun Chawla ,SINDHI (Since 1959),
2020,Plays,Jehad,Jetho Lalwani,SINDHI (Since 1959),
2019,Short Stories,Jeejal,Ishwar Moorjani,SINDHI (Since 1959),
2018,Poetry,Jia Mein Taandaa,Khiman U Mulani ,SINDHI (Since 1959),
2017,Essays,Aachhende Laja Maraan,Jagdish Lachhani,SINDHI (Since 1959),
2016,Poetry,Akhar Katha,Nand Javeri,SINDHI (Since 1959),
2015,Short Stories,Mahengi Murk,Maya Rahi,SINDHI (Since 1959),
2014,Poetry,Sija Agyaan Buku,Gope Kamal,SINDHI (Since 1959),
2013,Poetry,Mansh-Nagari,Namdev Tarachandani ,SINDHI (Since 1959),
2012,Short Stories,Miteea Khaan Miteea Taaeen,Indra Vaswani,SINDHI (Since 1959),
2011,Plays,...Ta Khawaban Jo Chha Thindo,Mohan Geham,SINDHI (Since 1959),
2010,Poetry,Ajan Yaad Aahe,Laxman Dubey,SINDHI (Since 1959),
2009,Short Stories,Rishtan Jee Siyasat,Anand Khemani,SINDHI (Since 1959),
2008,Criticism,Sirjan Jo Sankat Ain Sindhi Kahani,Hiro Shewkani,SINDHI (Since 1959),
2007,Plays,Vijoon Vasan Aayoon,Vasudev Nirmal,SINDHI (Since 1959),
2006,Plays,Dharti-A-Jo-Sad,Kirat Babani,SINDHI (Since 1959),
2005,Poetry,Andhero Roshan Thiye,Dholan Rahi,SINDHI (Since 1959),
2004,Criticism,Kavita Khan Kavita Tain,Satish Rohra,SINDHI (Since 1959),
2003,Essays,Tahqiq Ain Tanqeed,Hiro Thakur,SINDHI (Since 1959),
2002,Short Stories,Udamandarh Arman,Hari Himthani,SINDHI (Since 1959),
2001,Poetry,Bhagat,Prem Prakash,SINDHI (Since 1959),
2000,Criticism,Taka Tora,Param A Abichandani,SINDHI (Since 1959),
1999,Poetry,Barf Jo Thahiyal,Vasdev Mohi,SINDHI (Since 1959),
1998,Plays,Zaizalo,Shyam Jaisinghani,SINDHI (Since 1959),
1997,Andheri Raat Mein) (Poetry,Tandana,Ishwar Anchal,SINDHI (Since 1959),
1996,Short Stories,Gufa Je Hun Paar,Lakhmi Khilani,SINDHI (Since 1959),
1995,Novel,Ajho,Hari Motwani,SINDHI (Since 1959),
1994,Novel,Aarsi-A-Aado,Kala Prakash,SINDHI (Since 1959),
1993,Novel,Hathayogi,Tara Mirchandani,SINDHI (Since 1959),
1991,Poetry,Soche Joon Sooratoon,Harikant Jethwani,SINDHI (Since 1959),
1990,Poetry,Shishe-Ja-Ghar,Goverdhan Mahboobani,SINDHI (Since 1959),
1989,Poetry,Bahi Ja Warisa,M Kamal,SINDHI (Since 1959),
1988,Travelogue,Se Sab Sandhyam Saah Sen,Moti Prakash,SINDHI (Since 1959),
1987,Literary Criticism,Chaliha-Chorasi,Harish Vaswani,SINDHI (Since 1959),
1986,Short Stories,Vichoro,Sundri A Uttamchandani,SINDHI (Since 1959),
1985,Poetry,Mero Sij,Arjan Hasid,SINDHI (Since 1959),
1984,Short Stories,Uha Shaam,Mohan Kalpana,SINDHI (Since 1959),
1983,Poetry,Andho Doonhon,Arjan Mirchandani Shad,SINDHI (Since 1959),
1982,Autobiography,Munhinji Hayati-a-Ja Sona Ropa Warq,Popati R Hiranandani,SINDHI (Since 1959),
1981,Poetry,Surkh Gulaab-Suraha Khwaab,Prabhu Wafa,SINDHI (Since 1959),
1980,Novel,Yad Hika Pyar Ji,Krishin Khatwani,SINDHI (Since 1959),
1979,Poetry,Pal Pal Jo Parlao,Hari Daryani Dilgir,SINDHI (Since 1959),
1978,Poetry,Cheekh,HI Sadarangani,SINDHI (Since 1959),
1976,Poetry,Jee-a-Jharoko,Laxman Bhatia Komal,SINDHI (Since 1959),
1974,Novel,Hunaje Atam Jo Maut,Lal Pushp,SINDHI (Since 1959),
1973,Novel,Pyar Ji Pyas,Gobind Malhi,SINDHI (Since 1959),
1972,Short Stories,Aparajita,Guno Samtaney,SINDHI (Since 1959),
1971,Poetry,Kumach,Krishin Rahi,SINDHI (Since 1959),
1970,Poetry,Wari-a-Bharyo Palaand,Narayan Shyam,SINDHI (Since 1959),
1969,History of Sindhi Prose,Sindhi Nasr Ji Tarikh,MU Malkani,SINDHI (Since 1959),
1968,Mujamil) (Evaluation,Shah Jo Rasalo,Kalyan B Advani,SINDHI (Since 1959),
1966,Poetry,Surahi,Lekhraj Kishinchand Aziz,SINDHI (Since 1959),
1964,Reminiscences,Anokha Azmooda,Ram Panjwani,SINDHI (Since 1959),
1959,Biography,Kanwar,Tirth Basant,SINDHI (Since 1959),
2023,Novel,Neervazhi Paduvum,Rajasekaran Devibharathi,TAMIL,
2022,Novel,Kaala Paani,M Rajendran,TAMIL,
2021,Short Stories,Civappuk Kazuttu Tan Oru Paccaip Paravai,Ambai ,TAMIL,
2020,Novel,Sellaatha Panam,Imaiyam,TAMIL,
2019,Novel,Sool,Cho Dharman,TAMIL,
2018,Novel,Sanchaaram ,S Ramakrishnan,TAMIL,
2017,Poetry,Kaandhal Naatkal,Late Inqulab ,TAMIL,
2016,Short Stories,Oru Siru Isai,Vannadhasan,TAMIL,
2015,Essays,Ilakkiya Suvadugal,A Madhavan,TAMIL,
2014,Novel,Agngnaadi,Poomani,TAMIL,
2013,Novel,Korkai ,RN Joe D Cruz ,TAMIL,
2012,Novel,Thol,D Selvaraj,TAMIL,
2011,Novel,Kaval Kottam,S Venkatesan,TAMIL,
2010,Short Stories,Soodiya Poo Soodarka,Nanjil Nadan,TAMIL,
2009,Poetry,Kaiyappam,Puviyarasu,TAMIL,
2008,Short Stories,Minsarapoo,Melanmai Ponnusamy,TAMIL,
2007,Novel,Ilai Uthir Kaalam,Neela Padmanabhan,TAMIL,
2006,Poetry,Akayathukku Aduthaveedu,Mu Metha,TAMIL,
2005,Novel,Kalmaram,G Thilakavathi,TAMIL,
2004,Poetry,Vanakkam Valluva,Tamilanban,TAMIL,
2003,Novel,Kallikattu Ithikasam,R Vairamuthu,TAMIL,
2002,Poems,Oru Giraamattu Nadi,Sirpi Balasubramaniam,TAMIL,
2001,Novel,Sutanthira Daagam,CS Chellappa,TAMIL,Awarded Posthumously
2000,3 Parts) (Criticism,Vimarsanangal Mathi Puraikal Pettikal,ThiKa Sivasankaran,TAMIL,
1999,Poetry,Aalapanai,S Abdul Rahman,TAMIL,
1998,Novel,Visaranai Commission,Sa Kandasamy,TAMIL,
1997,Novel,Chaivu Narkali,Thoppil Mohamed Miran,TAMIL,
1996,Short Stories,Appavin Snehidar,Ashokamitran,TAMIL,
1995,Novel,Vaanam Vasappadum,Prapanchan,TAMIL,
1994,Novel,Pudhiya Dharisanangal,Ponneelan Kandeswara Bhaktavalsalan,TAMIL,
1993,Novel,Kathukal,MV Venkataram,TAMIL,
1992,Historic Novel,Kutralakurinji,Kove Manisekaran,TAMIL,
1991,Novel,Gopallapurarthu Makkal,Ki Rajanarayanan,TAMIL,
1990,Novel,Veril Pazhutha Pala,Su Samuthiram,TAMIL,
1989,Autobiographical Essays,Chintanadi,LS Ramamirtham,TAMIL,
1988,Literary Criticism,Vazhum Valluvam,VC Kulandaiswamy,TAMIL,
1987,Short Stories,Mudalil Iravu Varum,Aadhavan Sundaram,TAMIL,Awarded Posthumously
1986,Literary Criticism,Ilakkiyathukku Oru lyakkam,Ka Naa Subramanyam,TAMIL,
1985,Literary Criticism,Kamban: Putiya Parvai,AS Gnanasambandan,TAMIL,
1984,Novel,Oru Kaveriyai Pola,Thirupurasundari Lakshmi,TAMIL,
1983,Literary Criticism,Bharathi: Kalamum Karuthum,TMC Raghunathan,TAMIL,
1982,Literary History,Manikkodikalam,BS Ramaiya,TAMIL,
1981,Literary Criticism,Puthiya Urai Nadai,M Ramalingam,TAMIL,
1980,Novel,Cheraman Kadali,Kannadasan,TAMIL,
1979,Short Stories,Sakthi-Vaithiyam,T Janakiraman,TAMIL,
1978,Literary Criticism,Pudukavkhaiyin Thottramum Valarchiyum,Vallikannan,TAMIL,
1977,Novel,Kuruthi-P-Punal,Indira Parthasarathi,TAMIL,
1975,Literary Criticism,Tharkkala Tamizh Illakkiyam,R Dhandayudham,TAMIL,
1974,Literary Criticism,Thirukkural Nedhi Illakkiyam,KD Thirunavukkarasu,TAMIL,
1973,Novel,Verukku Neer,Rajam Krishnan,TAMIL,
1972,Novel,Sila Nerangalil Sila Manithargal,D Jayakanthan,TAMIL,
1971,Novel,Samudaya Veedhi,Naa Parthasarathy,TAMIL,
1970,Short Stories,Anbalippu,G Alagirisami,TAMIL,Awarded Posthumously
1969,Play,Pisirantaiyar,Bharatidasan,TAMIL,Awarded Posthumously
1968,Poetry,Vellai Paravai,A Srinivasa Raghavan,TAMIL,
1967,Literary Criticism,Virar Ulagam,KV Jagannathan,TAMIL,
1966,Biography,Vallalar Kanda Orumaippadu,MP Sivagnanam,TAMIL,
1965,Biography,Sri Ramanujar,P Sri Acharya,TAMIL,
1963,Novel,Vengaiyin Maindhan,Akilon P V Akilandam,TAMIL,
1962,Travelogue,Akkarai Cheemaiyil,Somu Mi Pa Somasundaram,TAMIL,
1961,Novel,Agal Vilakku,Mu Varadarajan,TAMIL,
1958,Ramayana retold in Prose,Chakravarti Tirumagan,C Rajagopalachari,TAMIL,
1956,Novel,Alai Osai,R Krishnamurti Kalki,TAMIL,Awarded Posthumously
1955,Essays,Tamil Inbam,RP Sethu Pillai,TAMIL,
2023,Short Stories,Rameshwaram Kaakulu Marikonni Kathalu,T Patanjali Sastry,TELUGU,
2022,Novel,Manodharmaparagam,Madhuranthakam Narendra ,TELUGU,
2021,Poetry,Vallankitaalam ,Gorati Venkanna ,TELUGU,
2020,2015-2017) (Poetry,Agniswaasa,Nikhileswar,TELUGU,
2019,Novel,Septabhoomi,Bandi Narayana Swamy,TELUGU,
2018,Essays,Vimarshini,Kolakaluri Enoch,TELUGU,
2017,Poetry,Gaali Rangu,Devipriya,TELUGU,
2016,Poetry,Rajanigandha,Papineni Sivasankar,TELUGU,
2015,Short Stories,Vimuktha,Volga,TELUGU,
2014,Literary Criticism,Mana Navalalu-Mana Kathanikalu,Rachapalem Chandrashekara Reddy,TELUGU,
2013,Essays,Sahityaakashmlo Sagam ,Katyayani Vidmahe ,TELUGU,
2012,Short Stories,Peddibhotla Subbaramaiah Kathalu - Vol-1,Peddibhotla Subbaramaiah,TELUGU,
2011,Essays,Swaralayalu,Samala Sadasiva,TELUGU,Awarded Posthumously
2010,Novel,Kaluthunna Poolathota,Syed Saleem,TELUGU,
2009,Novel,Draupadi,Yarlagadda Lakshmi Prasad,TELUGU,
2008,Novel,Purushothamudu,Chitiprolu Krishna Murthy,TELUGU,
2007,Autobiography,Satapatramu,late Gadiyaram Ramakrishna Sarma,TELUGU,
2006,Short Stories,Astivanadam Aavali Teerana,Munipalle B Raju,TELUGU,
2005,Short Stories,Tana Margam,Abburi Chayadevi,TELUGU,
2004,Novel,Kalarekhalu,Naveen,TELUGU,
2003,Poetry,Sri Krishna Chandrodayamu,Utpala Satyanarayanacharya,TELUGU,
2002,Essays,Smrti Kinankam,Chekuri Rama Rao,TELUGU,
2001,Autobiography,Hampi Nunchi Harappa Daka,Tirumala Ramachandra,TELUGU,Awarded Posthumously
2000,Poetry,Kalanni Nidra Ponivvanu,N Gopi,TELUGU,
1999,Essays,Katha Silpam,Vallampati Venkata Subbaiah,TELUGU,
1998,Short Stories,Balivada Kantha Rao Kathalu,Balivada Kantha Rao,TELUGU,
1997,Poetry,Swapna Lipi,Ajanta PV Shastri,TELUGU,
1996,Short Stories,Kethu Vishwanatha Reddy Kathalu,Ketu Viswanatha Reddy,TELUGU,
1995,Short Stories,Yajnam To Tommidi,Kalipatnam Rama Rao,TELUGU,
1994,Criticism,Kala Rekha,Gunturu Seshendra Sharma,TELUGU,
1993,Short Stories,Madhuranthakam Rajaram Kathalu,Madhuranthakam Rajaram,TELUGU,
1992,Novel,Hrudaya Netri,Malati Chendur,TELUGU,
1991,Short Stories,"Itlu, Mee Vidheyudu",Bhamidipati Ramagopalam,TELUGU,
1990,Poetry,Mohana-O-Mohana,K Siva Reddy,TELUGU,
1989,Essays,Mani Pravalamu,SV Joga Rao,TELUGU,
1988,Criticism,Anuvaada Samasyalu,Rachamallu Ramachandra Reddi,TELUGU,Awarded Posthumously
1987,Essays,Gurazada Gurupeetham,Arudra,TELUGU,
1986,Literary Criticism,Andhra Sahitya Vimarsa Angla Prabhavam,GS Subrahmanyam,TELUGU,
1985,Short Stories,Gaalivana,P Padmaraju,TELUGU,Awarded Posthumously
1984,Poetry,Aagama Geeti,Aluri Bairagi,TELUGU,Awarded Posthumously
1983,Sketches,Jeevana Samaram,R Bharadwaja,TELUGU,
1982,Short Stories,Swarna Kamalaalu,I Saraswati Devi,TELUGU,
1981,Play,Seeta Josyam,VR Narla,TELUGU,
1979,Poetry,Janapriya Ramayanam,P Narayanacharya,TELUGU,
1978,6 Vols.) (Poetry and Plays,Collected Works of Krishna Sastri,DV Krishna Sastri,TELUGU,
1977,Poetry,Kundurti Kritulu,Kundurti Anjaneyulu,TELUGU,
1975,Poetry,Gudiselu Kalipotunnai,Boyi Bhimanna,TELUGU,
1974,Poetry,Thimiram Tho Samaram,Dasarathi,TELUGU,
1973,Poetry,Mantalu Manavudu,C Narayana Reddy,TELUGU,
1972,Poetry,Sri Sri Sahityamu,Sri Sri,TELUGU,
1971,Commentary,Vijayavilasamu: Hridayollasavyakhya,Thapi Dharma Rao,TELUGU,
1970,Poetry,Amrutham Kurisina Rathri,D Balagangadhar Tilak,TELUGU,Awarded Posthumously
1969,Poetry,Mahatama Katha,Thummala Seetharamamurthy,TELUGU,
1965,Poetry,Misra Manjari,Rayaprolu Subbarao,TELUGU,
1964,Poetry,Kreestu Charitra,G Joshua,TELUGU,
1963,Novel,Panditha Parameshwara Sastry Veelunama,T Gopichand,TELUGU,
1962,Poetry,Viswanadha Madhyakkaralu,Vishwanadha Satyanarayana,TELUGU,
1961,A History of Telugu Composers and Song Writers,Andhra Vaggeyakara Charitramu ,Balanthrapu Rajanikantha Rao,TELUGU,
1960,A History of Bharata’s Natyasastra,Natyasastramu,Ponangi Srirama Apparavu,TELUGU,
1957,Biography,Sri Ramakrishnuni Jivita Charitra,Chirantanananda Swami,TELUGU,
1956,Translation of Dr. Radhakrishnan’s History of Indian Philosophy,Bharariya Tatva Sastramu,Bulusu Venkateswaralu,TELUGU,
1955,Social history,Andhrula Sanghike Charitamu,Suravaram Pratap Reddy,TELUGU,Awarded Posthumously
2023,Novel,Rajdev Ki Amrai,Sadiqua Nawab Saher,URDU,
2022,Novel,Khwab Saraab,Anis Ashfaq,URDU,
2021,Poetry,Taza Hawa Ki Tabishen,Chander Bhan Khayal,URDU,
2020,Novel,Amawas Main Khwab,HussainulHaque,URDU,
2019,Biography,Sawaneh-E-Sir Syed: Ek Bazdeed,Shafey Kidwai,URDU,
2018,Novel,Rohzin ,Rahman Abbas ,URDU,
2017,Short Stories,Dakhma,Baig Ehsas,URDU,
2016,Criticism,Mabad-e-Jadidiat Se Naye Ahed Ki Takhliqiyat Tak,Nizam Siddiqui,URDU,
2015,Tanqeedi Aur Taqabuli Mutalea) (Criticism,Tasawwuf Aur Bhakti,Shamim Tariq,URDU,
2014,Poetry,Shahdaba,Munawwar Rana,URDU,
2013,Poetry,Lava ,Javed Akhtar ,URDU,
2012,Poetry,Ghurfa-i-Ghaib,Krishna Kumar Toor,URDU,
2011,Poetry,Aafaaq Ki Taraf,Khaleel Mamoon,URDU,
2010,Poetry,Gumshuda Dair Ki Gunjati Ghantiyan,Sheen Kaaf Nizam,URDU,
2009,Criticism,Ma-assirTanqidi Rawayye,Abul Kalam Qasmi,URDU,
2008,Poetry,Pencil Aur Doosn Nazmein,Jayant Parmar,URDU,
2007,Criticism,Tareekh-e-Adab-e-Urdu,Wahab Ashrafi,URDU,
2006,Poetry,Rasta Aur Main,Makhmoor Saeedi,URDU,
2005,Memoirs,Ret Per Khema,Jabir Husain,URDU,
2004,Short Stories,Shikasta Buton Ke Darmiyan,Salam Bin Razzak,URDU,
2003,Short Stories,Badd-E-Saba Ka Intizar,Syed Muhammad Ashraf,URDU,
2002,Short Stories,Dhuan,Gulzar,URDU,
2001,Short Stories,Taoos Chaman Ki Maina,Naiyer Masud,URDU,
2000,Poetry,Sookhi Tahni Par Hariyal,Mohd Idrees Ambar Bahraichi,URDU,
1999,Poetry,Aas,Bashir Badr,URDU,
1998,Poetry,Khoya Hua Sa Kuchh,Nida Fazli,URDU,
1997,Novel,Gian Singh Shatir,Gian Singh Shatir,URDU,
1996,Novel,Fire Area,Ilyas Ahmad Gaddi,URDU,
1995,Literary Criticism,"Sakhtiyat, Pas-Sakhtiyat Aur Mashriqi Sheriyat",Gopi Chand Narang,URDU,
1994,Poetry,Pichhle Mausam Ka Phool,Mazhar Imam,URDU,
1993,Short Stories,Pakheru,Ram Lall,URDU,
1992,Poetry,Chautha Aasmaan,Mohammed Alvi,URDU,
1991,Novel,Identity Card,Salahuddin Pervez,URDU,
1990,Novel,Do Gaz Zameen,Abdus Samad,URDU,
1989,Short Stories,Baaz Goyi,Surendra Prakash,URDU,
1988,Autobiography,Aatish-e-Chinar,Sheikh Muhammad Abdullah,URDU,Awarded Posthumously
1987,Poetry,Khwab Ka Dar Band Hai,AMK Shahryar,URDU,
1986,Literary Criticism,Tanquidi Afkar,Shamsur Rahman Faruqi,URDU,
1985,Poetry,Parindon Bhara Asmaan,Balraj Komal,URDU,
1984,Criticism,Iqbal Ki Nazari-o-Amali Sheriyat,Masud Husain Khan,URDU,
1983,4th Play) (Biography,Tazkirah-e-Muasirin,Malik Ram,URDU,
1982,Literary Criticism,Zikr-O-Fikr,Gian Chand Jain,URDU,
1980,Literary Criticism,Iqbal Ki Terah Nazmen,AA Ansari,URDU,
1979,Poetry,Nawa-e-Awara,Gulam Rabbani Taban,URDU,
1978,Criticism,Hafiz aur Iqbal,Yusuf Husain Khan,URDU,
1976,Poetry,Khak-e-Dil,Jan Nisar Akhtar,URDU,Awarded Posthumously
1975,Poetry,Awara Sajde,Kaifi Azmi,URDU,
1974,Literary Criticism,Nazar aur Nazariya,Ale Ahmed Suroor,URDU,
1971,Literary Criticism,Ghalib Ki Shakhsiyat aur Shairi,Rasheed Ahmad Siddiqui,URDU,
1970,Novel,Lahoo Ke Phool,Hayatullah Ansari,URDU,
1969,Poetry,Bisat-Raqs,Makhdum Mohiuddin,URDU,
1967,Short Stories,Patjhar Ki Awaz,Qurratulain Hyder,URDU,
1965,Novelette,Ek Chadar Maili Si,Rajinder Singh Bedi,URDU,
1964,Poetry,Meri Hadis-e-Umr-e-Gurezan,Anand Narain Mulla,URDU,
1963,Sketches,Aandhi Mein Chiragh,KG Saiyidain,URDU,
1962,Poetry,Yadein,AktharulIman,URDU,
1961,A critical edition of Ghalib’s Poetry,Diwan-i-Ghalib,Imtiaz Ali Arshi,URDU,
1960,Poetry,Gul-i-Naghma,Firaq Gorakhpuri Raghupati Sahay,URDU,
1959,History of Urdu drama and stage,Urdu Drama aur Stage,Syed Masud Hasan Rizvi,URDU,
1958,Poetry,Atish-i-Gul,Jigar Muradabadi Ali Sikandar,URDU,
1957,Literary Criticism,Mir Taqi Mir,KA Faruqui,URDU,
1956,A survey of Indian culture,Qaumi Tehzib Ka Masala,S Abid Hussain,URDU,
1955,Philosophical Treatise,Maal aur Mashiyat,Zafar Hussain Khan,URDU,
